Automatic Gait Event Detection based on IMU
Right HC	Right TF	Left HC	Left TF
43158.000000	43875.000000	43683.000000	43245.000000	
44310.000000	45114.000000	44925.000000	44484.000000	
45609.000000	46383.000000	46203.000000	45753.000000	
46824.000000	47640.000000	47457.000000	47013.000000	
48087.000000	48936.000000	48732.000000	48276.000000	
49374.000000	50193.000000	50010.000000	49563.000000	
50634.000000	51462.000000	51267.000000	50811.000000	
51906.000000	52758.000000	52527.000000	52074.000000	
53190.000000	54015.000000	53823.000000	53379.000000	
54525.000000	55284.000000	55083.000000	54639.000000	
55710.000000	56574.000000	56361.000000	55914.000000	
57069.000000	57846.000000	57669.000000	57213.000000	
58287.000000	59118.000000	58956.000000	58503.000000	
59661.000000	60432.000000	60246.000000	59787.000000	
60867.000000	61731.000000	61530.000000	61071.000000	
62169.000000	63030.000000	62838.000000	62370.000000	
63504.000000	64326.000000	64107.000000	63633.000000	
64761.000000	65601.000000	65376.000000	64929.000000	
66021.000000	66864.000000	66657.000000	66207.000000	
67350.000000	68142.000000	67965.000000	67500.000000	
68586.000000	69402.000000	69222.000000	68790.000000	
69906.000000	0	70602.000000	70080.000000	
70695.000000	0	0	0	
